iter	Passed	Remaining
0	74	74401
1	80	40254
2	88	29484
3	97	24160
4	104	20714
5	109	18203
6	118	16814
7	125	15515
8	132	14572
9	139	13767
10	145	13087
11	151	12493
12	157	11964
13	165	11624
14	170	11217
15	178	10977
16	184	10692
17	190	10402
18	197	10191
19	203	9963
20	207	9665
21	215	9564
22	220	9375
23	227	9240
24	233	9112
25	239	8973
26	246	8867
27	253	8815
28	261	8763
29	268	8673
30	276	8634
31	283	8584
32	290	8520
33	297	8452
34	304	8392
35	311	8337
36	317	8273
37	325	8233
38	331	8180
39	339	8150
40	346	8106
41	353	8054
42	359	8000
43	366	7969
44	372	7908
45	379	7870
46	386	7837
47	393	7804
48	400	7765
49	406	7728
50	414	7704
51	420	7670
52	427	7640
53	434	7606
54	442	7611
55	450	7594
56	456	7556
57	463	7532
58	470	7497
59	478	7496
60	484	7456
61	492	7446
62	498	7420
63	507	7423
64	516	7423
65	523	7413
66	530	7384
67	538	7385
68	546	7372
69	555	7383
70	565	7396
71	569	7342
72	573	7288
73	582	7291
74	591	7292
75	598	7280
76	605	7260
77	614	7266
78	622	7259
79	629	7240
80	637	7232
81	644	7217
82	652	7212
83	659	7196
84	666	7172
85	674	7172
86	682	7164
87	689	7143
88	696	7130
89	702	7103
90	710	7099
91	716	7072
92	723	7057
93	730	7037
94	738	7033
95	746	7033
96	753	7014
97	761	7008
98	769	7002
99	776	6991
100	783	6975
101	789	6946
102	796	6937
103	803	6920
104	810	6909
105	817	6892
106	825	6892
107	834	6892
108	840	6869
109	849	6871
110	856	6856
111	863	6845
112	870	6835
113	878	6825
114	887	6826
115	894	6817
116	902	6807
117	909	6795
118	916	6784
119	923	6773
120	931	6764
121	937	6747
122	946	6745
123	954	6739
124	960	6725
125	969	6727
126	977	6722
127	985	6716
128	996	6725
129	1013	6785
130	1022	6784
131	1030	6776
132	1037	6765
133	1046	6761
134	1052	6742
135	1059	6727
136	1066	6718
137	1075	6716
138	1081	6700
139	1088	6686
140	1094	6669
141	1102	6664
142	1109	6646
143	1117	6641
144	1123	6622
145	1131	6615
146	1137	6598
147	1144	6588
148	1152	6579
149	1159	6571
150	1170	6580
151	1181	6591
152	1190	6590
153	1201	6599
154	1211	6601
155	1217	6587
156	1225	6580
157	1232	6566
158	1241	6566
159	1251	6571
160	1264	6588
161	1275	6597
162	1283	6592
163	1292	6590
164	1300	6580
165	1308	6572
166	1316	6565
167	1324	6557
168	1332	6553
169	1342	6554
170	1352	6554
171	1361	6552
172	1368	6540
173	1375	6531
174	1381	6513
175	1389	6505
176	1396	6491
177	1404	6483
178	1412	6477
179	1419	6466
180	1426	6454
181	1435	6451
182	1443	6444
183	1452	6441
184	1459	6427
185	1465	6413
186	1474	6410
187	1482	6401
188	1489	6390
189	1495	6374
190	1506	6382
191	1512	6367
192	1520	6358
193	1526	6342
194	1533	6331
195	1541	6324
196	1549	6317
197	1558	6311
198	1566	6304
199	1573	6295
200	1581	6286
201	1588	6276
202	1596	6267
203	1602	6253
204	1610	6244
205	1617	6233
206	1625	6227
207	1632	6215
208	1640	6208
209	1647	6196
210	1654	6187
211	1661	6177
212	1667	6162
213	1674	6150
214	1681	6139
215	1686	6121
216	1692	6108
217	1700	6100
218	1708	6094
219	1715	6082
220	1722	6072
221	1730	6063
222	1737	6054
223	1744	6043
224	1751	6032
225	1758	6023
226	1767	6017
227	1774	6008
228	1782	5999
229	1790	5994
230	1798	5988
231	1806	5978
232	1814	5974
233	1821	5961
234	1828	5952
235	1837	5947
236	1843	5935
237	1851	5929
238	1858	5917
239	1865	5906
240	1873	5900
241	1879	5886
242	1885	5874
243	1893	5867
244	1900	5857
245	1906	5844
246	1915	5839
247	1923	5833
248	1930	5823
249	1940	5821
250	1947	5811
251	1954	5801
252	1961	5792
253	1969	5783
254	1978	5779
255	1986	5772
256	1992	5759
257	2000	5752
258	2006	5741
259	2014	5734
260	2022	5726
261	2029	5716
262	2037	5708
263	2043	5696
264	2050	5686
265	2059	5683
266	2066	5671
267	2073	5662
268	2082	5659
269	2089	5649
270	2097	5641
271	2104	5632
272	2111	5623
273	2119	5615
274	2126	5606
275	2134	5598
276	2141	5589
277	2148	5579
278	2154	5566
279	2161	5558
280	2168	5549
281	2176	5541
282	2184	5534
283	2190	5522
284	2197	5513
285	2219	5540
286	2226	5531
287	2234	5523
288	2241	5513
289	2248	5503
290	2255	5496
291	2263	5489
292	2273	5485
293	2279	5473
294	2288	5468
295	2294	5457
296	2301	5446
297	2307	5435
298	2314	5425
299	2320	5415
300	2328	5406
301	2335	5398
302	2343	5391
303	2350	5382
304	2358	5374
305	2364	5362
306	2370	5351
307	2377	5340
308	2383	5329
309	2390	5321
310	2398	5314
311	2407	5309
312	2414	5299
313	2425	5299
314	2431	5288
315	2437	5276
316	2443	5265
317	2451	5258
318	2458	5248
319	2466	5240
320	2473	5232
321	2481	5224
322	2488	5215
323	2497	5210
324	2506	5205
325	2515	5200
326	2524	5194
327	2532	5187
328	2540	5180
329	2548	5173
330	2556	5166
331	2563	5158
332	2571	5149
333	2577	5139
334	2584	5130
335	2591	5122
336	2598	5112
337	2605	5103
338	2612	5094
339	2620	5086
340	2627	5077
341	2635	5070
342	2643	5062
343	2650	5054
344	2658	5047
345	2666	5039
346	2673	5031
347	2680	5022
348	2687	5013
349	2694	5004
350	2701	4994
351	2707	4984
352	2715	4976
353	2723	4969
354	2730	4960
355	2738	4953
356	2745	4945
357	2753	4938
358	2762	4933
359	2770	4926
360	2777	4916
361	2786	4910
362	2796	4906
363	2802	4895
364	2809	4888
365	2817	4880
366	2823	4869
367	2830	4860
368	2836	4849
369	2843	4842
370	2851	4834
371	2857	4823
372	2864	4814
373	2871	4806
374	2877	4796
375	2884	4786
376	2891	4778
377	2898	4770
378	2907	4764
379	2915	4756
380	2921	4747
381	2929	4738
382	2936	4730
383	2943	4722
384	2952	4715
385	2962	4712
386	2972	4708
387	2983	4705
388	2991	4698
389	2997	4688
390	3003	4678
391	3010	4669
392	3017	4660
393	3025	4653
394	3033	4646
395	3041	4638
396	3049	4631
397	3056	4622
398	3066	4619
399	3074	4611
400	3081	4602
401	3087	4593
402	3095	4585
403	3103	4577
404	3111	4571
405	3119	4563
406	3126	4554
407	3135	4549
408	3141	4540
409	3149	4531
410	3155	4521
411	3162	4513
412	3168	4503
413	3177	4497
414	3185	4490
415	3193	4482
416	3200	4474
417	3208	4467
418	3216	4460
419	3224	4452
420	3230	4443
421	3239	4436
422	3245	4427
423	3251	4416
424	3258	4408
425	3266	4401
426	3273	4392
427	3281	4385
428	3288	4377
429	3297	4370
430	3304	4362
431	3312	4355
432	3320	4348
433	3327	4339
434	3335	4332
435	3345	4327
436	3353	4320
437	3360	4311
438	3367	4302
439	3374	4294
440	3382	4288
441	3389	4279
442	3397	4271
443	3404	4262
444	3411	4254
445	3418	4246
446	3424	4236
447	3433	4231
448	3442	4224
449	3449	4216
450	3457	4208
451	3464	4200
452	3473	4194
453	3480	4186
454	3489	4179
455	3495	4170
456	3502	4161
457	3510	4154
458	3517	4146
459	3524	4137
460	3531	4129
461	3539	4121
462	3545	4111
463	3552	4103
464	3559	4095
465	3567	4088
466	3573	4078
467	3579	4069
468	3585	4060
469	3592	4051
470	3601	4044
471	3608	4036
472	3616	4029
473	3624	4021
474	3630	4013
475	3637	4004
476	3643	3994
477	3650	3986
478	3656	3977
479	3664	3969
480	3671	3961
481	3678	3952
482	3686	3945
483	3693	3937
484	3701	3930
485	3708	3922
486	3716	3914
